Taxa,Type,Vouchers ID , Botanical garden ID,Sample ID,Origin,rpoB,rpoC,matK,trnH-psbA,rpl32-trnL
Fraxinus americana,A,P00729688,15,2,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130620,GU991679,HM171496,HM367363,HM222718
Fraxinus americana,A,,1137,35,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130621,,HM367364,HM222719,
Fraxinus americana,A,P00729667,,117,P̩pini̬re Adeline (La Chapelle Montlinard France),,,,HM367362,HM222717
Fraxinus americana 'Automn purple',A,P00729638,2793 Kipling Street,261,Canopy Association (Palo Alto U.S.A.),,,,HM367360,HM222716
Fraxinus americana 'Automn purple',A,P00729636,598 Loma Verde Avenue,262,Canopy Association (Palo Alto U.S.A.),,,,HM367361,
Fraxinus americana var. biltmoreana ,A,,3826,45,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130625,GU991682,HM171519,HM222720,
Fraxinus angustifolia ,A,P00729660,1877,17,Arboretum National des Barres (Nogent-sur-Vernisson France),,,HM171493,HM367373,HM222730
Fraxinus angustifolia ,A,,1929,20,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130652,GU991709,HM171497,HM367374,HM222731
Fraxinus angustifolia ,A,P00729574,1987.1215*A,214,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367366,HM222723
Fraxinus angustifolia ,A,P00729572,1991.0384*A,215,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367365,HM222721
Fraxinus angustifolia ,W,,,Portugal1,,HM130622,GU991680,HM171527,,
Fraxinus angustifolia ssp. oxycarpa,A,,1731-1991,251,Jardin botanique de Montr̩al (Montr̩al Canada),,,,HM367367,HM222724
Fraxinus angustifolia var. monophylla,A,,1979.0263*A,233,Sir Harold Hillier Garden (Romsey U.K.),,,,,HM222722
Fraxinus anomala,A,,B0702,284,Parc Botanique du Launay (Orsay France),,,,HM367379,HM222738
Fraxinus anomala,A,,B0703,285,Parc Botanique du Launay (Orsay France),,,,HM367380,HM222739
Fraxinus apertisquamifera,W,P00729616,1,aperti1,leg Kazuya Iizuka (Utsunomiya University Japan),,,,HM367381,HM222740
Fraxinus apertisquamifera,W,P00729614,2,aperti2,leg Kazuya Iizuka (Utsunomiya University Japan),,,,HM367382,HM222741
Fraxinus apertisquamifera,W,P00729612,3,aperti3,leg Kazuya Iizuka (Utsunomiya University Japan),,,,HM367383,HM222742
Fraxinus apertisquamifera,W,P00729610,4,aperti4,leg Kazuya Iizuka (Utsunomiya University Japan),,,,HM367384,HM222743
Fraxinus apertisquamifera,W,P00729608,5,aperti5,leg Kazuya Iizuka (Utsunomiya University Japan),,,,HM367385,HM222744
Fraxinus apertisquamifera,W,P00729606,6,aperti6,leg Kazuya Iizuka (Utsunomiya University Japan),,,,HM367386,HM222745
Fraxinus apertisquamifera,W,P00729602,8,aperti8,leg Kazuya Iizuka (Utsunomiya University Japan),,,,HM367387,HM222746
Fraxinus apertisquamifera,W,P00729600,9,aperti9,leg Kazuya Iizuka (Utsunomiya University Japan),,,,HM367388,HM222747
Fraxinus berlanderiana,A,P00729670,1638,14,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130623,GU991681,,HM222748,
Fraxinus berlanderiana,A,P00729666,3617,48,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130624,GU991722,HM171521,HM222751,
Fraxinus berlanderiana,H,MEXU991880,991880,19,Mexico Herbarium (Mexico Mexico),,,,HM367390,HM222749
Fraxinus berlanderiana,H,MEXU1158611,1158611,17,Mexico Herbarium (Mexico Mexico),,,,HM367389,
Fraxinus berlanderiana,A,P00729567,1977.1152*Y,225,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367391,HM222750
Fraxinus biltmoreana ,A,P00729569,1977.2370*Q,226,Sir Harold Hillier Garden (Romsey U.K.),,,,,HM222753
Fraxinus biltmoreana ,A,,,121,Arboretum Bayreuth (Bayreuth Deutschland),,,,HM367393,
Fraxinus biltmoreana ,A,P00729626,,101,P̩pini̬re Adeline (La Chapelle Montlinard France),,,,HM367392,HM222752
Fraxinus bungeana,A,P00729682,3811,41,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991683,HM171516,HM367395,HM222755
Fraxinus bungeana,A,P00729671,,69,Arboretum Ch̬vreloup (Rocquencourt France),,,,HM367396,HM222756
Fraxinus bungeana,A,P00729618,,106,P̩pini̬re Adeline (La Chapelle Montlinard France),,,,HM367394,HM222754
Fraxinus caroliniana,A,,1980.0206*A,202,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367397,HM222757
Fraxinus caroliniana,A,P00729639,,53,Arboretum Ch̬vreloup (Rocquencourt France),,,,HM367398,HM222758
Fraxinus chiisanensis,A,,8907,24,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130627,GU991685,HM171501,HM367401,HM222761
Fraxinus chiisanensis,A,P00729662,8994,21,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130626,GU991684,HM171498,HM367399,HM222759
Fraxinus chiisanensis,A,P00729575,2006.0536*A,230,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367400,HM222760
Fraxinus chinensis,A,P00729641,1992,31,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130629,GU991686,HM171509,HM367405,HM222765
Fraxinus chinensis,A,P00729578,1966.2754*A,219,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367404,HM222764
Fraxinus chinensis,A,,1982.2663*A,210,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367403,HM222763
Fraxinus chinensis,A,P00729649,,108,P̩pini̬re Adeline (La Chapelle Montlinard France),,,,HM367402,HM222762
Fraxinus chinensis ssp. rhyncophylla,A,P00729588,2140,26,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130628,HM171503,HM367408,HM222768,
Fraxinus chinensis ssp. rhyncophylla,A,P00729656,3815,42,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130630,GU991687,HM367409,HM222769,
Fraxinus chinensis ssp. rhyncophylla,A,P00729577,2001.0366*A,229,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367407,HM222767
Fraxinus chinensis ssp. rhyncophylla,A,P00729651,,109,P̩pini̬re Adeline (La Chapelle Montlinard France),,,,HM367406,HM222766
Fraxinus cuspidata,H,MEXU658827,658827,9,Mexico Herbarium (Mexico Mexico),,,,HM367414,HM222774
